time, Quad.MagYaw, Quad.Est.Yaw, Quad.Yaw
0.005000,nan,0.000262,0.000000
0.010000,0.169616,0.036695,0.000003
0.015000,nan,0.034640,0.000003
0.020000,-0.175517,-0.005102,-0.000001
0.025000,nan,-0.004962,-0.000012
0.030000,-0.000679,-0.004883,-0.000025
0.035000,nan,-0.006550,-0.000037
0.040000,0.021182,-0.002342,-0.000048
0.045000,nan,-0.001670,-0.000058
0.050000,0.017049,-0.000007,-0.000065
0.055000,nan,0.001721,-0.000065
0.060000,-0.127868,-0.015571,-0.000055
0.065000,nan,-0.018413,-0.000038
0.070000,0.030597,-0.012486,-0.000010
0.075000,nan,-0.010325,0.000028
0.080000,0.147546,0.007020,0.000072
0.085000,nan,0.010634,0.000113
0.090000,0.147444,0.026666,0.000148
0.095000,nan,0.025875,0.000179
0.100000,0.084098,0.031317,0.000208
0.105000,nan,0.031400,0.000236
0.110000,-0.057432,0.020636,0.000265
0.115000,nan,0.020940,0.000296
0.120000,-0.058355,0.013396,0.000330
0.125000,nan,0.015194,0.000368
0.130000,0.051013,0.019229,0.000409
0.135000,nan,0.016081,0.000456
0.140000,0.103482,0.025973,0.000506
0.145000,nan,0.024034,0.000553
0.150000,0.022606,0.023246,0.000595
0.155000,nan,0.020408,0.000630
0.160000,-0.116199,0.007480,0.000656
0.165000,nan,0.007021,0.000677
0.170000,0.059448,0.013307,0.000692
0.175000,nan,0.012990,0.000704
0.180000,0.106445,0.021719,0.000712
0.185000,nan,0.018716,0.000721
0.190000,0.013606,0.016373,0.000731
0.195000,nan,0.015775,0.000742
0.200000,-0.080835,0.006785,0.000755
0.205000,nan,0.006967,0.000773
0.210000,-0.103496,-0.003594,0.000791
0.215000,nan,-0.004759,0.000811
0.220000,-0.043983,-0.009404,0.000834
0.225000,nan,-0.007327,0.000859
0.230000,0.067356,0.000323,0.000887
0.235000,nan,0.001781,0.000916
0.240000,-0.146716,-0.012091,0.000945
0.245000,nan,-0.009287,0.000973
0.250000,0.045589,-0.003583,0.000996
0.255000,nan,-0.008859,0.001012
0.260000,0.204316,0.009510,0.001026
0.265000,nan,0.011420,0.001038
0.270000,-0.025314,0.010972,0.001044
0.275000,nan,0.011609,0.001047
0.280000,-0.075498,0.003789,0.001048
0.285000,nan,0.003550,0.001048
0.290000,-0.021792,0.001164,0.001047
0.295000,nan,0.001436,0.001044
0.300000,-0.036168,-0.000930,0.001040
0.305000,nan,0.001398,0.001034
0.310000,-0.126831,-0.011257,0.001027
0.314999,nan,-0.010599,0.001019
0.319999,0.147026,0.005156,0.001011
0.324999,nan,0.006670,0.001003
0.329999,0.074607,0.011813,0.000996
0.334999,nan,0.013112,0.000989
0.339999,0.051086,0.016552,0.000985
0.344999,nan,0.016198,0.000983
0.349999,0.003189,0.013777,0.000980
0.354999,nan,0.012915,0.000974
0.359999,-0.062078,0.006271,0.000967
0.364999,nan,0.005377,0.000962
0.369999,-0.049762,0.001415,0.000957
0.374999,nan,-0.000142,0.000951
0.379999,0.202394,0.019129,0.000949
0.384999,nan,0.017965,0.000947
0.389999,0.019230,0.020762,0.000946
