time, Quad.Est.E.Yaw
0.005000,0.000262
0.010000,0.036693
0.015000,0.034637
0.020000,-0.005103
0.025000,-0.004952
0.030000,-0.004863
0.035000,-0.006515
0.040000,-0.002298
0.045000,-0.001614
0.050000,0.000056
0.055000,0.001786
0.060000,-0.015511
0.065000,-0.018371
0.070000,-0.012464
0.075000,-0.010345
0.080000,0.006966
0.085000,0.010529
0.090000,0.026531
0.095000,0.025702
0.100000,0.031120
0.105000,0.031170
0.110000,0.020383
0.115000,0.020650
0.120000,0.013080
0.125000,0.014834
0.130000,0.018837
0.135000,0.015634
0.140000,0.025486
0.145000,0.023490
0.150000,0.022667
0.155000,0.019785
0.160000,0.006834
0.165000,0.006348
0.170000,0.012620
0.175000,0.012288
0.180000,0.021010
0.185000,0.017996
0.190000,0.015646
0.195000,0.015035
0.200000,0.006036
0.205000,0.006198
0.210000,-0.004378
0.215000,-0.005566
0.220000,-0.010228
0.225000,-0.008181
0.230000,-0.000552
0.235000,0.000871
0.240000,-0.013025
0.245000,-0.010255
0.250000,-0.004570
0.255000,-0.009868
0.260000,0.008489
0.265000,0.010384
0.270000,0.009930
0.275000,0.010562
0.280000,0.002741
0.285000,0.002502
0.290000,0.000116
0.295000,0.000390
0.300000,-0.001972
0.305000,0.000363
0.310000,-0.012287
0.314999,-0.011619
0.319999,0.004143
0.324999,0.005665
0.329999,0.010814
0.334999,0.012121
0.339999,0.015565
0.344999,0.015214
0.349999,0.012795
0.354999,0.011939
0.359999,0.005301
0.364999,0.004414
0.369999,0.000456
0.374999,-0.001095
0.379999,0.018180
0.384999,0.017017
0.389999,0.019816
0.394998,0.016551
0.399998,0.019105
0.404998,0.021640
0.409998,0.015916
0.414998,0.017785
0.419998,0.013782
0.424998,0.014795
0.429998,-0.012559
0.434998,-0.014017
0.439998,-0.010749
0.444998,-0.010480
0.449998,-0.023830
0.454998,-0.026183
0.459998,-0.021242
0.464998,-0.022262
0.469997,0.003690
0.474997,0.006589
0.479997,-0.023543
0.484997,-0.022560
0.489997,-0.012428
0.494997,-0.009246
0.499997,-0.022595
0.504997,-0.023603
0.509997,-0.005686
0.514997,-0.008106
0.519997,-0.009596
0.524997,-0.010897
0.529997,-0.010108
0.534997,-0.008834
0.539997,-0.000674
0.544997,-0.001549
0.549996,0.011562
0.554996,0.009398
0.559996,-0.000994
0.564996,-0.001025
0.569996,0.015677
0.574996,0.018522
0.579996,0.016372
0.584996,0.015129
0.589996,0.014793
0.594996,0.012696
0.599996,0.022047
0.604996,0.021578
0.609996,0.023762
0.614996,0.023721
0.619996,0.003038
0.624996,0.000888
0.629995,-0.013122
0.634995,-0.015097
0.639995,-0.011712
0.644995,-0.011611
0.649995,-0.016828
0.654995,-0.017221
0.659995,-0.014886
0.664995,-0.012887
0.669995,-0.005107
0.674995,-0.007833
0.679995,-0.018678
0.684995,-0.018580
0.689995,-0.008015
0.694995,-0.007489
0.699995,0.017701
0.704994,0.020099
0.709994,0.022303
0.714994,0.022729
0.719994,0.008492
0.724994,0.010023
0.729994,0.001195
0.734994,0.004861
0.739994,0.008507
0.744994,0.007633
0.749994,0.006916
0.754994,0.009404
0.759994,0.007412
0.764994,0.007104
0.769994,0.011979
0.774994,0.012869
0.779994,0.010934
0.784993,0.009031
0.789993,0.002403
0.794993,0.003251
0.799993,-0.009103
0.804993,-0.006816
0.809993,-0.004868
0.814993,-0.006681
0.819993,-0.024130
0.824993,-0.020345
0.829993,-0.034007
0.834993,-0.036943
0.839993,-0.036912
0.844993,-0.037324
0.849993,-0.043908
0.854993,-0.043488
0.859993,-0.037018
0.864992,-0.038569
0.869992,-0.038852
0.874992,-0.038189
0.879992,-0.043303
0.884992,-0.044478
0.889992,-0.046898
0.894992,-0.048431
0.899992,-0.051584
0.904992,-0.049424
0.909992,-0.046943
0.914992,-0.047872
0.919992,-0.029748
0.924992,-0.030647
0.929992,-0.008645
0.934992,-0.008358
0.939991,-0.016236
0.944991,-0.017364
0.949991,-0.010805
0.954991,-0.007928
0.959991,-0.004171
0.964991,-0.004729
0.969991,-0.005848
0.974991,-0.007385
0.979991,-0.003608
0.984991,-0.001472
0.989991,-0.000902
0.994991,-0.000466
0.999991,-0.005330
1.004991,-0.004704
1.009991,-0.010851
1.014991,-0.009634
1.019992,-0.003051
1.024992,-0.003014
1.029992,-0.009595
1.034992,-0.009276
1.039993,0.005496
1.044993,0.004139
1.049993,0.009993
1.054993,0.012052
1.059994,0.026644
1.064994,0.028286
1.069994,0.025886
1.074994,0.027426
1.079994,0.032368
1.084995,0.035125
1.089995,0.026098
1.094995,0.022876
1.099995,0.029578
1.104996,0.031023
1.109996,0.024778
1.114996,0.023948
1.119996,0.021719
1.124997,0.023399
1.129997,0.026698
1.134997,0.027020
1.139997,0.039991
1.144997,0.044475
1.149998,0.050190
1.154998,0.052469
1.159998,0.047631
1.164998,0.047482
1.169999,0.028035
1.174999,0.028635
1.179999,0.023838
1.184999,0.023535
1.190000,0.025355
1.195000,0.025195
1.200000,0.009080
1.205000,0.007592
1.210001,-0.004099
1.215001,-0.006220
1.220001,0.003908
1.225001,0.004956
1.230001,-0.007531
1.235002,-0.007985
1.240002,-0.021234
1.245002,-0.022569
1.250002,-0.034781
1.255003,-0.034218
1.260003,-0.017569
1.265003,-0.016174
1.270003,-0.007709
1.275004,-0.007641
1.280004,0.001587
1.285004,-0.001341
1.290004,-0.015114
1.295004,-0.014005
1.300005,-0.020265
1.305005,-0.021580
1.310005,-0.020957
1.315005,-0.022820
1.320006,-0.022856
1.325006,-0.025207
1.330006,-0.012503
1.335006,-0.011568
1.340007,-0.014413
1.345007,-0.016379
1.350007,-0.007885
1.355007,-0.005653
1.360008,0.004388
1.365008,0.003464
1.370008,0.007356
1.375008,0.009480
1.380008,0.020267
1.385009,0.022954
1.390009,0.017364
1.395009,0.017204
1.400009,0.023567
1.405010,0.021668
1.410010,0.019989
1.415010,0.018839
1.420010,0.010250
1.425011,0.012837
1.430011,0.004070
1.435011,0.003624
1.440011,-0.006689
1.445011,-0.005666
1.450012,-0.006201
1.455012,-0.003128
1.460012,-0.012517
1.465012,-0.012424
1.470013,-0.017327
1.475013,-0.020512
1.480013,-0.016309
1.485013,-0.017345
1.490014,0.008480
1.495014,0.009410
1.500014,0.011142
1.505014,0.012801
1.510015,0.025171
1.515015,0.026952
1.520015,0.026580
1.525015,0.026985
1.530015,0.026200
1.535016,0.029662
1.540016,0.013592
1.545016,0.014703
1.550016,0.004261
1.555017,0.004311
1.560017,0.004281
1.565017,0.005846
1.570017,-0.000317
1.575018,0.001460
1.580018,0.022247
1.585018,0.022792
1.590018,0.004743
1.595019,0.005761
1.600019,-0.001020
1.605019,-0.002489
1.610019,-0.008816
1.615019,-0.007721
1.620020,-0.009672
1.625020,-0.010093
1.630020,-0.011850
1.635020,-0.013128
1.640021,-0.010202
1.645021,-0.010711
1.650021,-0.022939
1.655021,-0.024594
1.660022,-0.021909
1.665022,-0.022093
1.670022,-0.007053
1.675022,-0.010889
1.680022,-0.000262
1.685023,0.000243
1.690023,-0.007029
1.695023,-0.005676
1.700023,-0.003555
1.705024,0.000841
1.710024,-0.009742
1.715024,-0.007403
1.720024,-0.004122
1.725025,-0.005107
1.730025,-0.005241
1.735025,-0.007122
1.740025,-0.019151
1.745026,-0.016405
1.750026,-0.031251
1.755026,-0.029850
1.760026,-0.020125
1.765026,-0.022183
1.770027,-0.029575
1.775027,-0.031221
1.780027,-0.034831
1.785027,-0.036169
1.790028,-0.019622
1.795028,-0.018977
1.800028,-0.024059
1.805028,-0.021723
1.810029,-0.028109
1.815029,-0.029391
1.820029,-0.023886
1.825029,-0.026269
1.830029,-0.029335
1.835030,-0.026715
1.840030,-0.008276
1.845030,-0.009200
1.850030,-0.003245
1.855031,-0.002287
1.860031,-0.005287
1.865031,-0.006148
1.870031,-0.007996
1.875032,-0.009130
1.880032,-0.019922
1.885032,-0.018177
1.890032,-0.027370
1.895033,-0.026093
1.900033,-0.011356
1.905033,-0.011334
1.910033,-0.022875
1.915033,-0.022105
1.920034,-0.024850
1.925034,-0.025416
1.930034,-0.024253
1.935034,-0.027900
1.940035,-0.028568
1.945035,-0.026822
1.950035,-0.006943
1.955035,-0.005187
1.960036,0.013935
1.965036,0.017264
1.970036,0.009949
1.975036,0.006179
1.980036,-0.003524
1.985037,-0.005862
1.990037,0.004238
1.995037,0.002389
2.000037,-0.010959
2.005037,-0.010520
2.010037,-0.015699
2.015036,-0.015387
2.020036,-0.036319
2.025036,-0.035177
2.030035,-0.040537
2.035035,-0.038813
2.040035,-0.040395
2.045034,-0.038324
2.050034,-0.048582
2.055033,-0.048278
2.060033,-0.059786
2.065033,-0.058968
2.070032,-0.052067
2.075032,-0.054883
2.080032,-0.050953
2.085031,-0.048223
2.090031,-0.076794
2.095031,-0.078559
2.100030,-0.057410
2.105030,-0.057676
2.110029,-0.057481
2.115029,-0.060547
2.120029,-0.037770
2.125028,-0.040745
2.130028,-0.048584
2.135028,-0.050985
2.140027,-0.057755
2.145027,-0.058793
2.150027,-0.051708
2.155026,-0.053893
2.160026,-0.059286
2.165025,-0.057985
2.170025,-0.043489
2.175025,-0.047300
2.180024,-0.044493
2.185024,-0.044415
2.190024,-0.041173
2.195023,-0.041829
2.200023,-0.040276
2.205023,-0.037761
2.210022,-0.034952
2.215022,-0.035390
2.220021,-0.031575
2.225021,-0.030781
2.230021,-0.012927
2.235020,-0.013001
2.240020,-0.023238
2.245020,-0.023812
2.250019,-0.018773
2.255019,-0.017794
2.260019,-0.027676
2.265018,-0.028017
2.270018,-0.022702
2.275017,-0.024240
2.280017,-0.014604
2.285017,-0.011879
2.290016,-0.023330
2.295016,-0.018594
2.300016,-0.009704
2.305015,-0.008871
2.310015,-0.015410
2.315015,-0.014067
2.320014,0.000851
2.325014,0.002237
2.330014,0.008156
2.335013,0.008823
2.340013,0.011392
2.345012,0.012757
2.350012,-0.001239
2.355012,-0.003924
2.360011,-0.002632
2.365011,-0.001927
2.370011,0.000362
2.375010,0.001063
2.380010,0.013319
2.385010,0.013454
2.390009,-0.012266
2.395009,-0.011316
2.400008,-0.002391
2.405008,-0.002603
2.410008,-0.005734
2.415007,-0.002648
2.420007,-0.014281
2.425007,-0.017397
2.430006,-0.020662
2.435006,-0.019959
2.440006,-0.036588
2.445005,-0.035911
2.450005,-0.036273
2.455004,-0.033972
2.460004,-0.014420
2.465004,-0.013521
2.470003,-0.012055
2.475003,-0.010924
2.480003,-0.002621
2.485002,-0.002080
2.490002,-0.017402
2.495002,-0.014344
2.500001,-0.001817
2.505001,-0.002348
2.510000,0.001355
2.515000,0.001780
2.520000,0.006940
2.524999,0.005343
2.529999,0.001267
2.534999,0.000315
2.539998,0.003201
2.544998,0.003844
2.549998,0.019809
2.554997,0.019326
2.559997,0.019017
2.564996,0.019787
2.569996,0.019134
2.574996,0.018569
2.579995,0.001315
2.584995,0.000889
2.589995,-0.001392
2.594994,-0.000755
2.599994,0.012395
2.604994,0.013840
2.609993,0.005136
2.614993,0.008012
2.619992,0.018553
2.624992,0.022641
2.629992,0.032259
2.634991,0.031608
2.639991,0.050647
2.644991,0.048856
2.649990,0.042824
2.654990,0.043338
2.659990,0.049910
2.664989,0.049543
2.669989,0.054356
2.674989,0.055894
2.679988,0.042565
2.684988,0.041912
2.689987,0.045163
2.694987,0.041019
2.699987,0.038364
2.704986,0.042276
2.709986,0.029543
2.714986,0.031855
2.719985,0.039450
2.724985,0.039585
2.729985,0.024119
2.734984,0.025501
2.739984,0.028224
2.744983,0.027023
2.749983,0.029062
2.754983,0.027889
2.759982,0.015738
2.764982,0.014194
2.769982,0.018038
2.774981,0.017679
2.779981,0.005477
2.784981,0.004884
2.789980,-0.007988
2.794980,-0.010047
2.799979,-0.025353
2.804979,-0.024446
2.809979,-0.002957
2.814978,-0.005808
2.819978,-0.006045
2.824978,-0.005503
2.829977,-0.011858
2.834977,-0.012162
2.839977,-0.029512
2.844976,-0.028195
2.849976,-0.015438
2.854975,-0.017002
2.859975,-0.008352
2.864975,-0.007826
2.869974,0.007743
2.874974,0.006296
2.879974,0.012378
2.884973,0.008978
2.889973,0.012015
2.894973,0.010561
2.899972,-0.003797
2.904972,-0.006248
2.909971,-0.028475
2.914971,-0.026539
2.919971,-0.029627
2.924970,-0.026317
2.929970,-0.021916
2.934970,-0.022552
2.939969,-0.020225
2.944969,-0.019318
2.949969,-0.021648
2.954968,-0.021264
2.959968,-0.014971
2.964967,-0.013630
2.969967,-0.005891
2.974967,-0.008165
2.979966,0.001120
2.984966,0.000599
2.989966,0.008737
2.994965,0.009468
2.999965,0.034403
3.004965,0.037216
3.009964,0.035741
3.014964,0.036914
3.019964,0.032781
3.024963,0.029910
3.029963,0.031698
3.034962,0.033057
3.039962,0.027580
3.044962,0.026851
3.049961,0.034047
3.054961,0.033897
3.059961,0.034166
3.064960,0.033780
3.069960,0.042108
3.074960,0.041330
3.079959,0.029404
3.084959,0.031097
3.089958,0.022495
3.094958,0.020772
3.099958,0.021508
3.104957,0.022052
3.109957,0.042737
3.114957,0.044375
3.119956,0.046827
3.124956,0.045850
3.129956,0.063434
3.134955,0.061943
3.139955,0.069490
3.144954,0.069918
3.149954,0.072508
3.154954,0.079220
3.159953,0.073816
3.164953,0.072324
3.169953,0.044119
3.174952,0.042205
3.179952,0.051203
3.184952,0.049852
3.189951,0.027494
3.194951,0.030200
3.199950,0.027933
3.204950,0.024582
3.209950,0.031139
3.214949,0.027299
3.219949,0.034609
3.224949,0.039915
3.229948,0.036752
3.234948,0.038932
3.239948,0.033746
3.244947,0.033739
3.249947,0.029740
3.254946,0.031966
3.259946,0.036103
3.264946,0.036866
3.269945,0.023826
3.274945,0.028380
3.279945,0.024470
3.284944,0.024114
3.289944,0.030513
3.294944,0.029161
3.299943,0.034708
3.304943,0.032145
3.309942,0.045443
3.314942,0.047104
3.319942,0.016110
3.324941,0.018492
3.329941,0.044113
3.334941,0.040253
3.339940,0.029959
3.344940,0.029812
3.349940,0.027517
3.354939,0.021667
3.359939,0.018269
3.364938,0.017989
3.369938,0.024955
3.374938,0.022255
3.379937,0.008379
3.384937,0.007297
3.389937,0.011127
3.394936,0.011122
3.399936,0.009198
3.404936,0.011660
3.409935,0.026198
3.414935,0.023227
3.419935,0.018296
3.424934,0.015761
3.429934,0.005787
3.434933,0.001269
3.439933,-0.008295
3.444933,-0.007632
3.449932,0.012426
3.454932,0.012271
3.459932,-0.001928
3.464931,-0.001752
3.469931,0.016112
3.474931,0.014609
3.479930,0.017389
3.484930,0.017486
3.489929,0.017220
3.494929,0.016717
3.499929,0.005453
3.504928,0.005819
3.509928,0.010155
3.514928,0.010872
3.519927,0.002139
3.524927,0.003173
3.529927,-0.004875
3.534926,-0.006110
3.539926,-0.002912
3.544925,-0.001544
3.549925,-0.004420
3.554925,-0.003924
3.559924,-0.002114
3.564924,0.000683
3.569924,-0.001800
3.574923,-0.001511
3.579923,-0.004030
3.584923,-0.002541
3.589922,-0.010446
3.594922,-0.008942
3.599921,-0.005698
3.604921,-0.004984
3.609921,0.001284
3.614920,-0.001172
3.619920,0.002647
3.624920,0.004083
3.629919,-0.003757
3.634919,-0.003775
3.639919,0.006922
3.644918,0.008631
3.649918,-0.002197
3.654917,-0.001607
3.659917,0.001318
3.664917,0.002332
3.669916,0.005594
3.674916,0.008640
3.679916,0.020253
3.684915,0.021547
3.689915,0.030995
3.694915,0.030815
3.699914,0.018869
3.704914,0.019912
3.709913,0.034676
3.714913,0.034986
3.719913,0.042495
3.724912,0.043205
3.729912,0.007326
3.734912,0.009662
3.739911,-0.016964
3.744911,-0.018371
3.749911,-0.018924
3.754910,-0.019060
3.759910,-0.021612
3.764910,-0.020804
3.769909,-0.018916
3.774909,-0.022118
3.779908,-0.021297
3.784908,-0.022527
3.789908,-0.022224
3.794907,-0.022492
3.799907,0.001777
3.804907,0.003516
3.809906,0.010421
3.814906,0.012305
3.819906,0.027346
3.824905,0.032840
3.829905,0.040910
3.834904,0.045141
3.839904,0.026984
3.844904,0.027775
3.849903,0.022203
3.854903,0.020086
3.859903,0.032413
3.864902,0.032640
3.869902,0.017663
3.874902,0.018450
3.879901,0.006774
3.884901,0.006249
3.889900,0.004977
3.894900,0.001812
3.899900,0.010160
3.904899,0.010575
3.909899,0.014499
3.914899,0.013908
3.919898,0.005349
3.924898,0.006919
3.929898,0.004311
3.934897,0.002738
